name	targets
Ibudilast	PDE4A,PDE4B,PDE4C,PDE4D,PDE3A
iCo-007	RAF1
Rotigotine	DRD3,DRD4,DRD2,DRD5,DRD1,HTR1A,ADRA2B
Samarium (153Sm) lexidronam	
Hepatitis B Immune Globulin	S GENE
S-8184	TUBA4A,BCL2
MCC	AIFM1
CA4P	TUBB
SB-249553	
anecortave acetate	
Tarenflurbil	IKBKG
SPP 301	EDNRA
IDM-1	
IDM-2	
Vandetanib	VEGFA,EGFR,PTK6,TEK,RET
Eldecalcitol	VDR
Motexafin lutetium	
Paclitaxel docosahexaenoic acid	BCL2
Tetomilast	PDE4D
keyhole limpet hemocyanin	IL2
PTI-801	
LAX-101	PLD1,CASP1
OMS-103HP	TNF,IL1R1
WX-G250	CA9,IL2
Cintredekin Besudotox	IL13
Alferminogene Tadenovec	
CHF-1512	DDC
ANX-510	TYMS
TP-508	FGF4
FP-1096	
Ecallantide	KLKB1
NVS antibody	
MP4	
MC-1	
Pimavanserin	HTR2A,DRD2
TAK-475	FDFT1,HMGCR
oportuzumab monatox	EPCAM
ATG-Fresenius S	
PEG-uricase	UAO
INGN 201	
INGN 225	
INKP-102	
Ranirestat	AKR1B1
VGV-1	GAG-POL
MDX-1379	
ALTU-135	
Romiplostim	MPL
TC-5231	
Obiltoxaximab	
SOT-107	GLIPR1
MN-305	HTR1A
ATL-2502	
C1-INH	SERPING1
Arundic acid	S100B
Ciliary neurotrophic factor	
SO-101	HRH1
WL-1002	
AP-1034	
Dexlansoprazole	ATP4A,ATP4B
Fx-1006A	
CMC 001	
SR-123781A	SERPINC1,F2R
SSR-126517E	F10
LIC-477	
ROX-888	CCL3
BF-200 ALA	
Actelion-1	EDNRA
Ragweed pollen extract	
HZT-501	HRH2
NOVA-22007	
ACR-16	
CP-945598	CNR1
Rindopepimut	EGFR
Chlorfenson	
DOTMP HO-166	
Histamine	HRH1,HRH2,HRH3,HRH4
Iodine	MT-ND5
Pimagedine	NOS2,AKR1B1,TIMP3
Carbopol 974P	
PRO 2000	
recombinant human GM-CSF	CSF2RA,CSF2RA
AE-941	MMP2,MMP9,MMP12
WF10	MAEA,CD163
INS 316	P2RY2
liposomal prostaglandin E1	GP1BA
NOV-002	
Corticorelin	
Amibegron	ADRB3
Albinterferon Alfa-2B	
C31G	GAG-POL,CD9
Succinobucol	VCAM1
QS-21	
ME-609	
CEP-1347	MAPK12
AZD 3355	TP53
XTL-001	
GTI-2501	
TBC-3711	EDN1
Emricasan	CASP1,CASP3,CASP7
NCX 701	
NCX 1022	
VB2-011	
Talmapimod	MAPK14,TNF,IL1B,MT-CO2
T-1249	SERPINA5
Pipendoxifene	
OSI-461	PDE5A
GW-501516	
GW 468816	GLRA1
GW 597599	TACR1
ADX-10061	CALY
gallium maltolate	RRM1
CP-122721	TACR1
OPC-14523	SLC6A4
ORG-34517	NR3C1
Canertinib	EGFR
talactoferrin alpha	
IDD-3	
motexafin gadolinium	TXNRD1,TXNRD2,RRM2
CAT-213	CCL11
VLTS-589	
MLN-977	ALOX5
DAS-431 IV	CALY
rGLP-1	
ABT-510	FGF2,HGF,VEGFA,CXCL8
RIGScan CR49	
IDM-4	
IDD-1	
SRP 299	
AVAC	
Etiprednol dicloacetate	IL1B
ADL 10-0101	OPRK1
Iroxanadine	
TA-NIC	
LJP 1082	APOH
AVI-4557	HNF4A
PX-12	TXNRD1
FM-VP4	ABCB1
PYM50028	
P54	NFKB2,NFKB1
PH-284	AVPR1A,AVPR1B
Paliroden	
SR 121463	AVPR1B
ETC-588	
OSI-7904L	TYMS
Pozanicline	CHRNA4,CHRNB2
Briakinumab	IL12B,IL23A
Ezatiostat	GSTP1
OPC-28326	HTR2B,ADRA2C,ADRA2B
ISS-1018	TLR9
NOX-700	NFKB2,NFKB1
Tandutinib	FLT3,PDGFD
R673	TACR1
R667	RARG
R411	ITGA4
R450	ADRA1A,ADRA1B,ADRA1D
VX-702	MAPK14,TNF,IL1B,IL6
SGN-30	NFKB1,NFKB2
omega interferon	IFNAR1,IFNAR2
QR-334	
T487	
Golotimod	TLR2,TLR4,TLR7,TLR9
WX-UK1	PLAUR
MUC1 Dendritic Cell Vaccine	
Pradefovir Mesylate	CYP3A4
CZEN 002	MC1R
PBI-1402	
Recombinant alpha 1-antitrypsin	SERPINA1
7-ethyl-10-hydroxycamptothecin	TOP1
PCL-016	UBR4,ZFY
MDX-018	CXCL8
ADH-1	
Custirsen	ESR1,NFKB2,NFKB1
Technetium Tc-99m ciprofloxacin	GYRB,TOP2B
ACA 125	ABL
T131	PPARG
ATN-161	
Epicept NP-1	OPRM1,HTR2A,HTR2B,HTR2C,ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,HRH1,OPRL1
NX-1207	
Elacytarabine	DCK
PG-530742	MMP9
Otelixizumab	
KW-7158	
TAK-428	
AVN-944	
AMD-070	CXCR4,CCR5
AG-858	
NM-702	TBXAS1
ISIS 113715	PTPN1
VX-765	CASP1,IL1B
LI-301	OPRM1,HTR1A
Huperzine-A	ACHE
Piclidenoson	ADORA3
MM-093	
Telaprevir	NS3/4A,SLCO1B1,SLCO2B1
Mipomersen	
Brivaracetam	SV2A,SCN1A,SCN10A,SCN11A,SCN2A,SCN3A,SCN4A,SCN5A,SCN7A,SCN8A,SCN9A,SCN1B,SCN2B,SCN3B,SCN4B
Ramucirumab	KDR
Farletuzumab	FOLR1
Sodium stibogluconate	TOP1
NTx-265	
OT-551	
VTP-201227	
faropenem medoxomil	PONA,PENA,FTSI
NP-50301	ESR1
AC-100	
EP-2104R	FGA
Apremilast	PDE4D,PDE4A,PDE4B,TNF,IL2,IFNG,NOS3
Ustekinumab	IL12B,IL12B,IL23A
FX06	CDH5
BL-1020	DRD2,HTR2A
CRx-119	SLC6A4,SLC6A2
ALS-08	
GTS-21	CHRNA7
Gantacurium Chloride	
AZD-9684	CPB2
LY-517717	F10
Maxy-G34	
Elesclomol	
CGC-11047	
ALKS 29	
PMI-001	
Strontium malonate	
MIV-701	CTSK
Varespladib methyl	PLA2G2A,PLA2G10
Vapitadine	
CYT006-AngQb	AGTR1,AGTR2
RPI-78M	CHRNA2,CHRNB2,CHRNA7,CHRNA4,CHRNA10,CHRNA9
AGS-005	
AGS-004	
CRx-139	TNF,IL6,CRP,IL10
PF-03187207	
R-851	
MPI-674	CYP19A1
AVE-1625	CNR1
RP01	
ALKS 27	CHRM1,CHRM2,CHRM3,CHRM4,CHRM5
VSF-173	
IPH 1101	
BF-37	
PAC-113	
DNB-001	
CYT007-TNFQb	TNF
ATX-201	
ACP-104	CHRM1,DRD2,DRD3
Andrographolide	TNF,IL1B,IL6,NFKB2,NFKB1
Alkaline Phosphatase	
LCP-AtorFen	
LLL-3348	IL10
Rabeximod	
Trastuzumab emtansine	ERBB2
CRx-401	
IC41	
Thrombomodulin Alfa	F2,F5
Col-118	
Oglufanide	
ATX-101	
LGD-1550	RARA,RARB,RARG,JUN
Irofulven	FUBP1
LM-609	ITGB3
MX6	
SR 140333	TACR1
Perflubron	
Arylacenamide	SIGMAR1
PRO-542	FFAR4
Serelaxin	
YKP-10A	
Daglutril	MME
TNX-901	FCER1A
GEM-231	PRKAR2A,PRKAR1A
NOX-100	
Alethine	
GTI 2040	RRM2
ISIS 14803	
Prasterone sulfate	
NS-2359	
Cositecan	TOP1
HGTV-43	
PI-88	
TA-CIN	
99mTc-glucarate	
HSV-2 theracine	
Abiraterone	CYP17A1
GPI-1485	FKBP1A
GnRH pharmaccine	
Laromustine	
SGN-15	
NBI-6024	
DP-b99	
DP-VPA	
NCX 4016	PTGS1
CNS-5161	GRIN1
NCX 1015	
Prolease-r-hFSH	
G207	
LU-31130	
Parathyroid hormone	PTH1R,PTH2R
7a-methyl-19-nortestosterone	
ING-1	EPCAM
PPI-1019	
lymphotoxin beta receptor	
OC-1012	
NS-3728	
AG-702	
OSI-7836	
OPC-51803	AVPR2
BG-777	
AGI-1096	
AI-128	
AI-850	
trans NV-04	
NV-07a	
Mito-4509	APP
humanized SMART Anti-IL-12 Antibody	IL12B
NCX 950	ADRB2
Biomed 101	
cryopreserved human liver cells	
CLX-0921	PPARG
Rivanicline	CHRNB2,CXCL8
CPD 923	
Q-Derp1	
BI-K0376	
PI-166	
PEG-Infergen	
Tasquinimod	
TRX1	
PPI-2458	METAP2
VIT-100	
ETC-1001	
99mTc-14 F7 Mab	ST3GAL5
Ciluprevir	
Ethyl pyruvate	TNF,HMGB1
anti-alpha5Beta1-integrin antibody	
UC-781	GAG-POL
PA mAb	
AVI-4020	
AEOL 10150	
substance P	
PDE4	PDE4A
PYY3-36	
AME-527	TNF
MBT-0312	
EHT 0202	
CHF 4227	ESR1,ESR2
ABX-PTH	PTH
HCV-086	
Seletracetam	SV2A,CACNA1B,GLRA1,GLRB
NV-18	
TAFA-93	
MEM 1414	PDE4
CMC-544	
VEGF-AS	VEGFA
RI 624	NGF
GT 389-255	
HGS-TR2J	TNFRSF10B
Sirna-027	
rhIGFBP-3	IGF1R
CERE-110	
IT-101	
KOS-1584	
BLX-883	
TD-2749	HTR4
CCR5 mAb	
RUS 3108	
REN-850	
OSI-930	KIT,FLT1
Mesenchymal Stem Cells	
MYO-029	MSTN
CT-011	PDCD1
LS11	
DDP-200	
RTA 744	TOP2A
NLX-P101	
Dovitinib	
GPI-0100	
SB-559448	MPL
Varlitinib	ERBB2,EGFR
Obeticholic acid	NR1H4
Eteplirsen	
Cariprazine	DRD3,DRD2,HTR1A,HTR2B,HTR2A,HRH1
PA-1050040	GAG
ZEN-012	TUBB,TUBB1,TUBB3,TUBB4A,TOP2A,TOP2B
Olaratumab	PDGFRA
XTL-6865	
AZD-8330	MAP3K1
CAM-2029	
KAI-1455	PRKCE
XMT-1001	TOP1
SNX-5422	HSP90AA1,HSP90AB1
DTS-201	
CTS-21166	BACE1
Lumateperone	HTR2A,DRD2
ABT-869	FLT3,FLT1,KDR,FLT4,KIT,CSF1R
ICA-105665	KCNQ1,KCNQ3,KCNQ4,KCNQ5,KCNQ2
Bradanicline	CHRNA7
ABT-560	
Apatorsen	HSPB1
NXN-188	NOS1,HTR1B,HTR1D
GSK-923295	CENPE
PRLX 93936	VDAC2,VDAC3
IMC-1C11	FLT1,KDR,FLT4
VX-148	IMPDH1,IMPDH2
KRP-104	DPP4
SVV-001	
FAV-201	
Sertindole	DRD2,HTR2A,HTR2C,HTR6,KCNH2,ADRA1A,ADRA1B,ADRA1D
Spiramycin	RPLC
Sulfathiazole	
Mianserin	ADRA2A,HTR2A,HTR2C,HRH1,SLC6A2,SLC6A4,HRH4,HTR1A,ADRA2C,HTR2B,HTR1F,ADRA2B,DRD3,OPRK1,SLC6A3,HTR7,DRD2,HTR6,ADRA1A,ADRA1B,ADRA1D,DRD1,DRD5
Teicoplanin	
Sulfadimethoxine	
Acetylcysteine	GSS,SLC7A11,ACY1,IKBKB,CHUK,GRIN2B,GRIN1,GRIN2A,GRIN2D,GRIN3A
Rimonabant	CNR1
Canakinumab	IL1B
Romidepsin	HDAC1,HDAC2,HDAC4,HDAC6
Ipilimumab	CTLA4
Solabegron	ADRB3
Pixantrone	
Icatibant	BDKRB2,ANPEP
Rufinamide	GRM5,SCN9A
Lasofoxifene	ESR1,ESR2,CNR2
Alogliptin	DPP4
Tapentadol	OPRM1,SLC6A2,OPRK1,OPRD1,HTR3A,SLC6A4
Hyaluronidase (Human Recombinant)	TGFB1
Sugammadex	
Silodosin	ADRA1A,ADRA1B,ADRA1D
Prasugrel	P2RY12
Eltrombopag	MPL
Doripenem	MRCA,MRCB,MRDA,PBPB,PBP4
Tolvaptan	AVPR2,AVPR1A
Regadenoson	ADORA2A
Asenapine	DRD2,HTR2A,HTR1A,HTR1B,HTR2B,HTR2C,HTR5A,HTR6,HTR7,ADRA2A,ADRA2B,ADRA2C,ADRA1A,DRD1,DRD3,DRD4,HRH1,HRH2,ADRB1,ADRB2
Vernakalant	SCN5A,KCNA5,KCND3,KCNH2
Lacosamide	SCN9A,SCN3A,SCN10A
Dalbavancin	
Rivaroxaban	F10
Vadimezan	
Avanafil	PDE5A
Eflornithine	ODC1
Incadronic acid	
Hexaminolevulinate	
Droxidopa	ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,ADRB1,ADRB2,ADRB3,PAH
Amrubicin	TOP2A
Udenafil	PDE5A
Sitaxentan	EDNRA,EDNRB
Sulodexide	SERPIND1,SERPINC1
Tocilizumab	IL6R
Alvimopan	OPRM1,OPRK1,OPRD1
Levocetirizine	HRH1
Ziconotide	
Teriparatide	PTH1R
Temsirolimus	MTOR
Amisulpride	DRD2,DRD3,HTR7,HTR2A
Simeprevir	
Dapagliflozin	SLC5A2
Elotuzumab	SLAMF7
Saxagliptin	DPP4
Pertuzumab	ERBB2
Rilonacept	IL1B,IL1A,IL1RN
Bazedoxifene	ESR1
Telavancin	
Ambrisentan	EDNRA,EDNRB
Human C1-esterase inhibitor	C1R,C1S,KLKB1,F12,F2,F11,PLAT
Doxercalciferol	VDR
Oxymetholone	AR,NPPB
Armodafinil	SLC6A3
Etravirine	GAG-POL,GAG-POL
Calfactant	
Cethromycin	
Semaxanib	KDR
Tyloxapol	LPL
Cangrelor	P2RY12
Dexanabinol	TNF
Naxifylline	ADORA1
Prucalopride	HTR4
Deramciclane	HTR2A,HTR2C
Gaboxadol	
Adipiplon	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRG1,GABRG2,GABRG3
Bevirimat	GAG-POL
Pazopanib	FLT1,KDR,FLT4,PDGFRA,PDGFRB,KIT,FGFR3,ITK,FGF1,SH2B3
Ceftaroline fosamil	
Agomelatine	HTR2C,MTNR1A,MTNR1B
Midostaurin	PRKCA,KDR,KIT,PDGFRA,PDGFRB,FLT3
Panobinostat	HDAC1,HDAC10,HDAC11,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9
Apixaban	F10
Mepolizumab	IL5
Peramivir	NA,NA,NA
Bosutinib	BCR,ABL1,LYN,HCK,SRC,CDK2,MAP2K1,MAP2K2,MAP3K2,CAMK2G
Flupirtine	ADRA2A
Axitinib	FLT1,KDR,FLT4
Isavuconazonium	
Dalfampridine	KCNA1,KCNA2,KCNA3,KCNA4,KCNA5,KCNA6,KCNA7,KCNA10,KCNB1,KCNB2,KCNC1,KCNC2,KCNC3,KCND1,KCND2,KCND3
Denosumab	TNFSF11
Ofatumumab	MS4A1
Safinamide	MAOB
Liraglutide	GLP1R
Pasireotide	SSTR1,SSTR2,SSTR3,SSTR5
Odanacatib	CTSK
Golimumab	TNF
Esmirtazapine	HRH1,HTR2A,HTR2B,HTR2C,ADRA2A,ADRA2B,ADRA2C
Belatacept	CD86,CD80
Vilazodone	HTR1A
Laquinimod	
Sipuleucel-T	ACPP
Ethanolamine Oleate	F12
Nitrous oxide	
Mepyramine	HRH1
Aprotinin	PRSS1,CTRB1,PLG,KLK1
Mevastatin	HMGCR
Xylometazoline	ADRA1A,ADRA2A,ADRA2B,ADRA1B,ADRA1D,ADRA2C
Dabigatran etexilate	F2
Arbekacin	RPSL
Artemether	
Betahistine	HRH1,HRH3
Degarelix	GNRHR
Desvenlafaxine	SLC6A4,SLC6A2
Dexmethylphenidate	SLC6A3,SLC6A2,SLC6A4
Fesoterodine	CHRM3,CHRM4,CHRM1,CHRM2,CHRM5
Gadobutrol	
Iobenguane	
Gadofosveset trisodium	
Isometheptene	ADRA1A,SLC18A2
Levonordefrin	ADRA2A,ADRA2B,ADRA2C
Lumefantrine	
Methacholine	CHRM3
Methyltestosterone	AR
Naphazoline	ADRA1A,ADRA2A
Nilvadipine	CACNA1C,CACNA2D1,CACNB2,CACNA1D,CACNA1S,CACNA2D3
Norelgestromin	PGR
Propylhexedrine	SLC18A2,TAAR1
Potassium Iodide	
Fospropofol	GABRB2,GABRB3
Fosaprepitant	
Stanozolol	
Buserelin	LHCGR,GNRHR
Velaglucerase alfa	GBA
Aluminum hydroxide	
Calcium Carbonate	
Lornoxicam	PTGS1,PTGS2
Bufuralol	ADRB1,ADRB2,ADRB3
Sparteine	
Aniline	
Sulfaphenazole	FOLP
Gestodene	
Seproxetine	
beta-Naphthoflavone	
Bafilomycin A1	ATP6V1A
Bafilomycin B1	ATP6V1A
Enclomiphene	
Aceclofenac	PTGS2,PTGS1
Zaltoprofen	
Ketobemidone	OPRM1,OPRK1,OPRD1,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRIN3A,GRIN3B
Gavestinel	GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRIN3A,GRIN3B
Ambroxol	
ginkgolide-A	
ginkgolide-B	
ginkgolide-C	
ginkgolide-J	
ginkgolide-M	
Ginsenoside C	
ginsenoside Rb1	
Ginsenoside Rg1	
Drotaverine	PDE4A,CACNA1C
Glycine betaine	
Manganese	
Sacrosidase	
Beractant	
Tetryzoline	ADRA1A
Alcaftadine	HRH1
Ammonium chloride	
Ammonium lactate	
Bendamustine	
Benzyl alcohol	
Besifloxacin	PARC,PARC,GYRA,GYRA
Cabazitaxel	TUBA4A,TUBB1
Human calcitonin	
Capsaicin	TRPV1
Carglumic Acid	CPS1
Chenodeoxycholic acid	NR1H4
Dalteparin	SERPINC1,VEGFA,TFPI,SELP
Difluprednate	NR3C1
Dimercaprol	
Prussian blue	
Gallium citrate Ga 67	
Ganirelix	GNRHR
Halcinonide	SMO
Hexocyclium	CHRM1,CHRM2,CHRM3,CHRM4
Histrelin	GNRHR
Hydroxyprogesterone caproate	PGR
Lanreotide	SSTR2,SSTR5
Lanthanum carbonate	
Levopropoxyphene	
Lodoxamide	
Mafenide	CA6
Mangafodipir	
Methenamine	
Methylnaltrexone	OPRM1,OPRK1
Nepafenac	PTGS1,PTGS2
Niclosamide	
Nonoxynol-9	
Plerixafor	CXCR4
Plicamycin	
Polidocanol	
Povidone-iodine	
Pralatrexate	DHFR,TYMS
Pyrvinium	
Raltegravir	POL
Phenylbutyric acid	TYRB,NPR
Sulconazole	
Tinzaparin	SERPINC1,ITGA4,CXCL12
Tiopronin	
Triethylenetetramine	
Triptorelin	GNRHR
Unoprostone	
Viomycin	
5-[2-(1H-pyrrol-1-yl)ethoxy]-1H-indole	LTA4H
4-BROMO-3-(CARBOXYMETHOXY)-5-[3-(CYCLOHEXYLAMINO)PHENYL]THIOPHENE-2-CARBOXYLIC ACID	PTPN1
(1-HYDROXYHEPTANE-1,1-DIYL)BIS(PHOSPHONIC ACID)	GGPS1
2-((9H-PURIN-6-YLTHIO)METHYL)-5-CHLORO-3-(2-METHOXYPHENYL)QUINAZOLIN-4(3H)-ONE	PIK3CG,PIK3CD
2-(3-FLUORO-4-HYDROXYPHENYL)-7-VINYL-1,3-BENZOXAZOL-5-OL	ESR2,NCOA1
1-CYCLOHEXYL-N-{[1-(4-METHYLPHENYL)-1H-INDOL-3-YL]METHYL}METHANAMINE	ESRRA
N-(2-hydroxy-1,1-dimethylethyl)-1-methyl-3-(1H-pyrrolo[2,3-b]pyridin-2-yl)-1H-indole-5-carboxamide	SYK
(2S)-2-[3-(AMINOMETHYL)PHENYL]-3-{(S)-HYDROXY[(1R)-2-METHYL-1-{[(2-PHENYLETHYL)SULFONYL]AMINO}PROPYL]PHOSPHORYL}PROPANOIC ACID	CPB1
N-(5-(4-CHLORO-3-(2-HYDROXY-ETHYLSULFAMOYL)- PHENYLTHIAZOLE-2-YL)-ACETAMIDE	PIK3CG,PIK3C3
(2R)-N~4~-hydroxy-2-(3-hydroxybenzyl)-N~1~-[(1S,2R)-2-hydroxy-2,3-dihydro-1H-inden-1-yl]butanediamide	ADAMTS5
methyl L-phenylalaninate	PILE1,F2
N-(ethoxycarbonyl)-L-leucine	
diethyl [(1R)-1,5-diaminopentyl]boronate	PRSS1
D-phenylalanyl-N-[(1S)-4-{[amino(iminio)methyl]amino}-1-(chloroacetyl)butyl]-L-prolinamide	F2
(4R)-4-(3-butoxy-4-methoxybenzyl)imidazolidin-2-one	PDE4A,PDE4D
2',5'-DIDEOXY-ADENOSINE 3'-MONOPHOSPHATE	GNAS,ADCY2,ADCY5
4-[(7-OXO-7H-THIAZOLO[5,4-E]INDOL-8-YLMETHYL)-AMINO]-N-PYRIDIN-2-YL-BENZENESULFONAMIDE	CCNA2,CDK2
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentylamino)ethanoyl)pyrrolidine-2-carboxamide	PRSS1,F2
5-[(3S)-3-(2-methoxybiphenyl-4-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine	DFRB
1-(1'-{[3-(methylsulfanyl)-2-benzothiophen-1-yl]carbonyl}spiro[1-benzofuran-3,4'-piperidin]-5-yl)methanamine	TPSAB1
1-[1'-(3-phenylacryloyl)spiro[1-benzofuran-3,4'-piperidin]-5-yl]methanamine	TPSAB1
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexylamino)ethanoyl)pyrrolidine-2-carboxamide	PRSS1,F2
N-(pyridin-3-ylmethyl)aniline	PPA,LTA4H
4-[(3S)-1-AZABICYCLO[2.2.2]OCT-3-YLAMINO]-3-(1H-BENZIMIDAZOL-2-YL)-6-CHLOROQUINOLIN-2(1H)-ONE	CHEK1
N-cycloheptylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide	PRSS1,F2
6-fluoro-2-(2-hydroxy-3-isobutoxy-phenyl)-1H-benzoimidazole-5-carboxamidine	PLAU,PRSS1
6-FLUORO-2-[2-HYDROXY-3-(2-METHYL-CYCLOHEXYLOXY)-PHENYL]-1H-INDOLE-5-CARBOXAMIDINE	PLAU
N-(4-CARBAMIMIDOYL-3-CHORO-PHENYL)-2-HYDROXY-3-IODO-5-METHYL-BENZAMIDE	PLAU
N-cyclooctylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide	F2,PRSS1
N-ALLYL-5-AMIDINOAMINOOXY-PROPYLOXY-3-CHLORO-N-CYCLOPENTYLBENZAMIDE	F2
2-(2-chloropyridin-4-yl)-4-methyl-1H-isoindole-1,3(2H)-dione	THYA
6-(2-HYDROXY-CYCLOPENTYL)-7-OXO-HEPTANAMIDINE	F2
2-HYDROXY-5-(2-MERCAPTO-ETHYLSULFAMOYL)-BENZOIC ACID	CASP3
2-(3-CARBOXYPROPIONYL)-6-HYDROXY-CYCLOHEXA-2,4-DIENE CARBOXYLIC ACID	MENC
6-CARBAMIMIDOYL-2-[2-HYDROXY-6-(4-HYDROXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID	F2
6-CARBAMIMIDOYL-2-[2-HYDROXY-5-(3-METHOXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID	F2
3,6,9,12,15,18-HEXAOXAICOSANE	PIN1
N-(3-chlorobenzyl)-1-(4-methylpentanoyl)-L-prolinamide	F2
1-[2-AMINO-2-CYCLOHEXYL-ACETYL]-PYRROLIDINE-3-CARBOXYLIC ACID 5-CHLORO-2-(2-ETHYLCARBAMOYL-ETHOXY)-BENZYLAMIDE	F2
17-HYDROXY-18A-HOMO-19-NOR-17ALPHA-PREGNA-4,9,11-TRIEN-3-ONE	AR
17-METHYL-17-ALPHA-DIHYDROEQUILENIN	ESR1,NCOA2
1-((2-HYDROXYETHOXY)METHYL)-5-(PHENYLTHIO)PYRIMIDINE-2,4(1H,3H)-DIONE	UDP
1-((2-HYDROXYETHOXY)METHYL)-5-(3-(BENZYLOXY)BENZYL)PYRIMIDINE-2,4(1H,3H)-DIONE	UDP
(6-[4-(AMINOMETHYL)-2,6-DIMETHYLPHENOXY]-2-{[4-(AMINOMETHYL)PHENYL]AMINO}-5-BROMOPYRIMIDIN-4-YL)METHANOL	GAG-POL
3-(3-FLUORO-4-HYDROXYPHENYL)-7-HYDROXY-1-NAPHTHONITRILE	ESR2,NCOA1
N-{5-[4-(4-METHYLPIPERAZIN-1-YL)PHENYL]-1H-PYRROLO[2,3-B]PYRIDIN-3-YL}NICOTINAMIDE	CHEK1
N,N-DIMETHYL-4-(4-PHENYL-1H-PYRAZOL-3-YL)-1H-PYRROLE-2-CARBOXAMIDE	MAPK1
1-[(2R)-2-aminobutanoyl]-N-(3-chlorobenzyl)-L-prolinamide	F2
5-(4'-AMINO-1'-ETHYL-5',8'-DIFLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLINE]-1-YLCARBONYL)PICOLINONITRILE	NOS2
(1S)-2-[(2S,5R)-2-(AMINOMETHYL)-5-PROP-1-YN-1-YLPYRROLIDIN-1-YL]-1-CYCLOPENTYL-2-OXOETHANAMINE	DPP4
(1Z)-2-HYDROXY-3-OXOHEX-1-EN-1-YL DIHYDROGEN PHOSPHATE	MTNW
1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-naphthalen-1-ylurea	SRC,MAPK14
1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-phenylurea	SRC
4-HYDROXY-N'-(4-ISOPROPYLBENZYL)BENZOHYDRAZIDE	ESRRG,NRIP1
3-[({(1E)-[2-(trifluoromethyl)phenyl]methylidene}amino)oxy]propanoic acid	
N-BENZYLOXYCARBONYL-ALA-PRO-3-AMINO-4-PHENYL-BUTAN-2-OL	APR
3(S)-methylcarbamoyl-7-sulfoamino-3,4-dihydro-1H-isoquinoline-2-carboxylic acid tert-butyl ester	PTPN1
(13R,15S)-13-METHYL-16-OXA-8,9,12,22,24-PENTAAZAHEXACYCLO[15.6.2.16,9.1,12,15.0,2,7.0,21,25]HEPTACOSA-1(24),2,4,6,17(25),18,20-HEPTAENE-23,26-DIONE	CDK2
3-(1H-tetrazol-5-ylmethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one	BLACTX-M-9A
(2R)-2-PHENYL-N-PYRIDIN-4-YLBUTANAMIDE	ERG11
5-{[(4-AMINO-3-CHLORO-5-FLUOROPHENYL)SULFONYL]AMINO}-1,3,4-THIADIAZOLE-2-SULFONAMIDE	CA2
(5S)-4,5-difluoro-6-[(2-fluoro-4-iodophenyl)imino]-N-(2-hydroxyethoxy)cyclohexa-1,3-diene-1-carboxamide	MAP2K1
1-DECANE-SULFONIC-ACID	SDSA1
1-DODECANOL	SDSA1,FAAH
1-(4-fluorophenyl)-N-[3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]-2-oxo-1,2-dihydropyridine-3-carboxamide	MET
3-[3-chloro-5-(5-{[(1S)-1-phenylethyl]amino}isoxazolo[5,4-c]pyridin-3-yl)phenyl]propan-1-ol	PLK1
4-(2-amino-1-methyl-1H-imidazo[4,5-b]pyridin-6-yl)phenol	ESR1,NCOA2
N-{2-[6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2,2-DIMETHYL-3-OXO-2,3-DIHYDRO-4H-1,4-BENZOTHIAZIN-4-YL]ETHYL}ACETAMIDE	REN
1-[4-(hydroxymethyl)phenyl]guanidine	PRSS8
2-(2-HYDROXY-CYCLOPENTYL)-PENT-4-ENAL	CELA2A
4-(1-methyl-1-phenylethyl)phenol	ESRRG
(1S,3aS,5aR,8aS)-1,7,7-trimethyl-1,2,3,3a,5a,6,7,8-octahydrocyclopenta[c]pentalene-4-carboxylic acid	PTLH
(5S,6S)-6-[(R)ACETOXYETH-2-YL]-PENEM-3-CARBOXYLATEPROPANE	LEPB
(2S,3S,4E,6E,8S,9S)-3-amino-9-methoxy-2,6,8-trimethyl-10-phenyldeca-4,6-dienoic acid	PPP2R5C,PPP2CA,PPP2R1A
2-AMINO-4-HYDROXYPYRIMIDINE-5-CARBOXYLIC ACID ETHYL ESTER	FOLB
